Times,Sentences,Vector Size,Window,Negative
104.16,1531059,size300,window3,neg5
22.7,306068,size300,window3,neg6
44.74,613068,size300,window3,neg6
64.6,918983,size300,window3,neg6
87.06,1225345,size300,window3,neg6
109.07,1531059,size300,window3,neg6
20.2,306068,size300,window4,neg4
39.3,613068,size300,window4,neg4
58.83,918983,size300,window4,neg4
79.0,1225345,size300,window4,neg4
98.23,1531059,size300,window4,neg4
22.4,306068,size300,window4,neg5
42.11,613068,size300,window4,neg5
63.18,918983,size300,window4,neg5
84.38,1225345,size300,window4,neg5
106.56,1531059,size300,window4,neg5
22.91,306068,size300,window4,neg6
43.98,613068,size300,window4,neg6
65.56,918983,size300,window4,neg6
87.69,1225345,size300,window4,neg6
110.85,1531059,size300,window4,neg6
21.5,306068,size300,window5,neg4
41.82,613068,size300,window5,neg4
61.56,918983,size300,window5,neg4
83.16,1225345,size300,window5,neg4
103.03,1531059,size300,window5,neg4
21.68,306068,size300,window5,neg5
42.38,613068,size300,window5,neg5
63.82,918983,size300,window5,neg5
85.37,1225345,size300,window5,neg5
106.54,1531059,size300,window5,neg5
23.39,306068,size300,window5,neg6
44.97,613068,size300,window5,neg6
67.63,918983,size300,window5,neg6
90.43,1225345,size300,window5,neg6
113.0,1531059,size300,window5,neg6
21.27,306068,size300,window6,neg4
41.04,613068,size300,window6,neg4
60.81,918983,size300,window6,neg4
82.0,1225345,size300,window6,neg4
102.64,1531059,size300,window6,neg4
22.14,306068,size300,window6,neg5
43.44,613068,size300,window6,neg5
64.61,918983,size300,window6,neg5
87.38,1225345,size300,window6,neg5
108.72,1531059,size300,window6,neg5
23.74,306068,size300,window6,neg6
46.17,613068,size300,window6,neg6
69.16,918983,size300,window6,neg6
92.34,1225345,size300,window6,neg6
116.04,1531059,size300,window6,neg6
21.86,306068,size300,window7,neg4
42.29,613068,size300,window7,neg4
63.18,918983,size300,window7,neg4
83.65,1225345,size300,window7,neg4
105.53,1531059,size300,window7,neg4
22.45,306068,size300,window7,neg5
44.18,613068,size300,window7,neg5
65.93,918983,size300,window7,neg5
88.12,1225345,size300,window7,neg5
110.15,1531059,size300,window7,neg5
24.3,306068,size300,window7,neg6
47.14,613068,size300,window7,neg6
70.78,918983,size300,window7,neg6
95.1,1225345,size300,window7,neg6
119.17,1531059,size300,window7,neg6
