,times__lg
0,0.0
1,0.006947994232177734
2,0.015500307083129883
3,0.021145105361938477
4,0.0290224552154541
5,0.03476881980895996
6,0.04185128211975098
7,0.04780697822570801
8,0.05258989334106445
9,0.06313776969909668
10,0.06885433197021484
11,0.07594728469848633
12,0.08334517478942871
13,0.09027981758117676
14,0.09744405746459961
15,0.1032862663269043
16,0.1087346076965332
17,0.11718893051147461
18,0.1241300106048584
19,0.13478517532348633
20,0.1406257152557373
21,0.14734196662902832
22,0.1530153751373291
23,0.1580960750579834
24,0.16400623321533203
25,0.1699824333190918
26,0.1754627227783203
27,0.1841874122619629
28,0.18875551223754883
29,0.19515752792358398
30,0.20215654373168945
31,0.20782732963562012
32,0.21541500091552734
33,0.22255611419677734
34,0.22798562049865723
35,0.2328794002532959
36,0.23851299285888672
37,0.24713134765625
38,0.2517430782318115
39,0.2606198787689209
40,0.26822495460510254
41,0.2750051021575928
42,0.2810525894165039
43,0.2866518497467041
44,0.2913327217102051
45,0.29743075370788574
46,0.30397987365722656
47,0.312305212020874
48,0.3213937282562256
49,0.32785964012145996
50,0.33519577980041504
51,0.34418630599975586
52,0.3502531051635742
53,0.35662364959716797
54,0.36165308952331543
55,0.37005114555358887
56,0.37688660621643066
57,0.3841896057128906
58,0.39104580879211426
59,0.39711809158325195
60,0.40566110610961914
61,0.4107847213745117
62,0.41718196868896484
63,0.423215389251709
64,0.43119144439697266
65,0.4357278347015381
66,0.4453620910644531
67,0.45354628562927246
68,0.46046900749206543
69,0.46570897102355957
70,0.470797061920166
71,0.47648096084594727
72,0.481212854385376
73,0.4885225296020508
74,0.49869251251220703
75,0.5053911209106445
76,0.5113301277160645
77,0.5188274383544922
78,0.525320291519165
79,0.5304815769195557
80,0.5374529361724854
81,0.548330545425415
82,0.5521855354309082
83,0.5607094764709473
84,0.5737788677215576
85,0.5805797576904297
86,0.5859358310699463
87,0.5949180126190186
88,0.6002278327941895
89,0.6066629886627197
90,0.6108713150024414
91,0.6221144199371338
92,0.6276144981384277
93,0.6350212097167969
94,0.6424977779388428
95,0.6482605934143066
96,0.654280424118042
97,0.6584911346435547
98,0.6646289825439453
99,0.6775519847869873
100,0.6827530860900879
101,0.6889312267303467
102,0.6957101821899414
103,0.7020275592803955
104,0.7083072662353516
105,0.7130866050720215
106,0.7185182571411133
107,0.7246780395507812
108,0.729668378829956
109,0.7339622974395752
110,0.7428989410400391
111,0.7477078437805176
112,0.7533926963806152
113,0.763627290725708
114,0.7706668376922607
115,0.7802557945251465
116,0.78743577003479
117,0.7948613166809082
118,0.8001272678375244
119,0.8059778213500977
120,0.8117270469665527
121,0.8187525272369385
122,0.82497239112854
123,0.8307726383209229
124,0.8389697074890137
125,0.8469302654266357
126,0.85471510887146
127,0.8623273372650146
128,0.8739321231842041
129,0.8791306018829346
130,0.8859355449676514
131,0.8912062644958496
132,0.8963479995727539
133,0.9044592380523682
134,0.9087059497833252
135,0.9164173603057861
136,0.9269497394561768
137,0.9331536293029785
138,0.9424088001251221
139,0.94883131980896
140,0.9557383060455322
141,0.9610650539398193
142,0.9714450836181641
143,0.9792885780334473
144,0.9864969253540039
145,0.9941093921661377
146,1.0011811256408691
147,1.0078105926513672
148,1.0125501155853271
149,1.021198034286499
150,1.029813528060913
151,1.0342521667480469
152,1.0426206588745117
153,1.047501802444458
154,1.0550134181976318
155,1.0607759952545166
156,1.0678441524505615
157,1.075023889541626
158,1.0833747386932373
159,1.0897369384765625
160,1.0985980033874512
161,1.105180025100708
162,1.1129200458526611
163,1.1190736293792725
164,1.1288833618164062
165,1.1363396644592285
166,1.143641471862793
167,1.1479873657226562
168,1.1579163074493408
169,1.1648108959197998
170,1.1691479682922363
171,1.1741116046905518
172,1.1821117401123047
173,1.1879825592041016
174,1.1954224109649658
175,1.2002739906311035
176,1.2055490016937256
177,1.2130389213562012
178,1.2185451984405518
179,1.2237787246704102
180,1.2299222946166992
181,1.2376465797424316
182,1.244966983795166
183,1.2526729106903076
184,1.2591869831085205
185,1.2698981761932373
186,1.2773160934448242
187,1.2843220233917236
188,1.2895500659942627
189,1.2949562072753906
190,1.3012661933898926
191,1.3088462352752686
192,1.3185341358184814
193,1.3253860473632812
194,1.3308558464050293
195,1.3374154567718506
196,1.3411047458648682
197,1.348088264465332
198,1.35538911819458
199,1.3623473644256592
200,1.371373176574707
201,1.3779892921447754
202,1.3853874206542969
203,1.3906760215759277
204,1.398411750793457
205,1.4046218395233154
206,1.4093451499938965
207,1.4133872985839844
208,1.4210929870605469
209,1.4262487888336182
210,1.434389591217041
211,1.441504955291748
212,1.445880651473999
213,1.4525456428527832
214,1.4606707096099854
215,1.4681999683380127
216,1.4778249263763428
217,1.483727216720581
218,1.487874984741211
219,1.4932241439819336
220,1.5036606788635254
221,1.5116021633148193
222,1.5161316394805908
223,1.5242955684661865
224,1.5296499729156494
225,1.5342955589294434
226,1.5409293174743652
227,1.5456695556640625
228,1.5524876117706299
229,1.5581486225128174
230,1.5639138221740723
231,1.5707552433013916
232,1.5751988887786865
233,1.5814485549926758
234,1.5912492275238037
235,1.5965361595153809
236,1.6037235260009766
237,1.6102495193481445
238,1.6163554191589355
239,1.6235010623931885
240,1.6289830207824707
241,1.6355948448181152
242,1.6424779891967773
243,1.6504712104797363
244,1.656346321105957
245,1.6637842655181885
246,1.6706202030181885
247,1.6747479438781738
248,1.6812260150909424
249,1.6897611618041992
250,1.6959383487701416
251,1.7032814025878906
252,1.706885576248169
253,1.7122161388397217
254,1.7201874256134033
255,1.7268157005310059
256,1.732008457183838
257,1.7389376163482666
258,1.7440695762634277
259,1.7484056949615479
260,1.7554974555969238
261,1.7672779560089111
262,1.77469801902771
263,1.780876636505127
264,1.79022216796875
265,1.797304630279541
266,1.8100039958953857
267,1.8180108070373535
268,1.8218560218811035
269,1.8270025253295898
270,1.8325343132019043
271,1.8373548984527588
272,1.8444809913635254
273,1.84968900680542
274,1.8579647541046143
275,1.8681907653808594
276,1.8743462562561035
277,1.8808410167694092
278,1.888051986694336
279,1.893115520477295
280,1.9003336429595947
281,1.9062860012054443
282,1.9140243530273438
283,1.9182298183441162
284,1.9264905452728271
285,1.9309322834014893
286,1.9427063465118408
287,1.9476723670959473
288,1.9562430381774902
289,1.9625847339630127
290,1.9693825244903564
291,1.975001335144043
292,1.9814612865447998
293,1.9870054721832275
294,1.996161699295044
295,2.0015299320220947
296,2.0068471431732178
297,2.013150930404663
298,2.0211126804351807
299,2.031071901321411
300,2.041825294494629
301,2.049170732498169
302,2.056565999984741
303,2.0614917278289795
304,2.0689456462860107
305,2.0755691528320312
306,2.0814363956451416
307,2.0867953300476074
308,2.094881057739258
309,2.101677656173706
310,2.1079986095428467
311,2.1164681911468506
312,2.1216824054718018
313,2.1281180381774902
314,2.1336252689361572
315,2.139676570892334
316,2.1473147869110107
317,2.1559691429138184
318,2.162651300430298
319,2.1678106784820557
320,2.173299551010132
321,2.180363893508911
322,2.18585205078125
323,2.1943821907043457
324,2.2027435302734375
325,2.2093286514282227
326,2.214897394180298
327,2.220256805419922
328,2.224513053894043
329,2.230760335922241
330,2.237654209136963
