,times__trf
0,0.0
1,0.1780245304107666
2,0.19405460357666016
3,0.20596909523010254
4,0.2194075584411621
5,0.23128366470336914
6,0.24384117126464844
7,0.2558293342590332
8,0.26665735244750977
9,0.28171777725219727
10,0.29323458671569824
11,0.30457520484924316
12,0.317080020904541
13,0.3298790454864502
14,0.3425877094268799
15,0.3547799587249756
16,0.3661670684814453
17,0.3800487518310547
18,0.39243435859680176
19,0.40680909156799316
20,0.41848158836364746
21,0.4306304454803467
22,0.4422752857208252
23,0.45342159271240234
24,0.46497130393981934
25,0.4766960144042969
26,0.4886002540588379
27,0.5018942356109619
28,0.5127718448638916
29,0.5246756076812744
30,0.5370850563049316
31,0.5527732372283936
32,0.5655519962310791
33,0.577965497970581
34,0.5895040035247803
35,0.6008155345916748
36,0.6121516227722168
37,0.6252269744873047
38,0.6361250877380371
39,0.6495189666748047
40,0.6626272201538086
41,0.6754312515258789
42,0.6876535415649414
43,0.6994025707244873
44,0.7105796337127686
45,0.7225441932678223
46,0.7345623970031738
47,0.7474133968353271
48,0.7606024742126465
49,0.7730634212493896
50,0.7858610153198242
51,0.7992382049560547
52,0.8113737106323242
53,0.8233158588409424
54,0.8346164226531982
55,0.8481848239898682
56,0.8608794212341309
57,0.87326979637146
58,0.8855228424072266
59,0.8973913192749023
60,0.9107420444488525
61,0.9220569133758545
62,0.9337279796600342
63,0.9455668926239014
64,0.9585306644439697
65,0.96932053565979
66,0.9833343029022217
67,0.9966516494750977
68,1.0088543891906738
69,1.0200390815734863
70,1.031130313873291
71,1.0429859161376953
72,1.0540492534637451
73,1.0668160915374756
74,1.0813732147216797
75,1.0934176445007324
76,1.1049883365631104
77,1.1183075904846191
78,1.1301369667053223
79,1.1414053440093994
80,1.1540846824645996
81,1.1686999797821045
82,1.1792078018188477
83,1.192396640777588
84,1.2089948654174805
85,1.221195936203003
86,1.2325074672698975
87,1.2466275691986084
88,1.258066177368164
89,1.2702717781066895
90,1.2808804512023926
91,1.2962887287139893
92,1.307816505432129
93,1.3203437328338623
94,1.332869291305542
95,1.3447437286376953
96,1.356428861618042
97,1.3670284748077393
98,1.3786356449127197
99,1.3941583633422852
100,1.4054250717163086
101,1.4172394275665283
102,1.4298462867736816
103,1.4420032501220703
104,1.4540660381317139
