,times__sm
0,0.0
1,0.0066564083099365234
2,0.014548540115356445
3,0.021748781204223633
4,0.02919602394104004
5,0.03455471992492676
6,0.04112553596496582
7,0.04659223556518555
8,0.05100059509277344
9,0.06074333190917969
10,0.06600022315979004
11,0.07071781158447266
12,0.07737040519714355
13,0.08389711380004883
14,0.0945734977722168
15,0.10005378723144531
16,0.10508155822753906
17,0.1129918098449707
18,0.11941671371459961
19,0.1291956901550293
20,0.13457870483398438
21,0.1407637596130371
22,0.14602065086364746
23,0.15070462226867676
24,0.15602588653564453
25,0.16158294677734375
26,0.1666865348815918
27,0.17476439476013184
28,0.17896413803100586
29,0.18483614921569824
30,0.19132304191589355
31,0.19652819633483887
32,0.20357847213745117
33,0.20999932289123535
34,0.21503114700317383
35,0.21956229209899902
36,0.22461342811584473
37,0.2323744297027588
38,0.23661231994628906
39,0.24494624137878418
40,0.2518649101257324
41,0.2582097053527832
42,0.26381587982177734
43,0.2689805030822754
44,0.2733442783355713
45,0.27898669242858887
46,0.28501391410827637
47,0.2926523685455322
48,0.30097532272338867
49,0.306943416595459
50,0.31368207931518555
51,0.3220405578613281
52,0.32770371437072754
53,0.33356332778930664
54,0.3382127285003662
55,0.3459784984588623
56,0.3522908687591553
57,0.3589742183685303
58,0.36534690856933594
59,0.37116265296936035
60,0.3791625499725342
61,0.38391637802124023
62,0.3898611068725586
63,0.3954286575317383
64,0.4028050899505615
65,0.4069938659667969
66,0.4159369468688965
67,0.42361903190612793
68,0.4300353527069092
69,0.4348602294921875
70,0.4395146369934082
71,0.4447953701019287
72,0.44919443130493164
73,0.4560062885284424
74,0.46543145179748535
75,0.4716489315032959
76,0.477139949798584
77,0.4842090606689453
78,0.4900550842285156
79,0.49479198455810547
80,0.5013277530670166
81,0.5113568305969238
82,0.5148937702178955
83,0.5222561359405518
84,0.5343849658966064
85,0.540604829788208
86,0.5456128120422363
87,0.5539517402648926
88,0.5588526725769043
89,0.5647714138031006
90,0.5686233043670654
91,0.5790503025054932
92,0.5841434001922607
93,0.5910806655883789
94,0.5979104042053223
95,0.6032319068908691
96,0.6087753772735596
